PropertyID,PropertyType,PropertyMarket,Bedrooms,Bathrooms,SqFt,Amount,SecurityDeposit,ListingDate,AgentName,AgentPhoneNumber,AgentEmail
22,House,Sale,1,1,1074,39104,2217,2023-01-22,Justin,306.650.3681x217,stevensjoseph@henderson-ware.biz
23,Condo,Sale,1,3,1648,505799,1416,2023-07-14,Danielle,210-639-3946x63891,stephensmark@gmail.com
24,Condo,Rent,2,3,2697,332393,2993,2023-06-28,Lindsey,953-242-3121x0697,umelendez@gmail.com
25,House,Sale,4,1,2861,608074,2842,2022-01-25,Hailey,439.106.4259x8223,sandraparker@castillo.com
26,House,Rent,4,1,2852,152636,2681,2023-06-02,Brooke,227-083-3420,thomas44@gmail.com
27,House,Rent,2,3,2215,109740,1217,2021-09-13,Suzanne,(267)879-9544x0072,david77@craig-wilcox.info
28,Apartment,Sale,3,3,1181,266317,1540,2022-12-10,Andrea,001-899-736-8694x57856,bruce30@orr.net
29,Apartment,Sale,1,2,1337,668321,2076,2022-03-26,Karen,(473)576-2558x1307,phyllis14@marquez.com
30,Apartment,Rent,5,3,1577,622620,1445,2021-01-10,Sherry,(800)238-0379,amanda95@gmail.com
31,Condo,Rent,1,2,2991,386577,2386,2023-04-04,Christopher,001-671-221-8989x1113,seancline@gmail.com
32,Apartment,Sale,1,2,2811,625474,1519,2023-03-09,Alyssa,+1-336-561-4539x5147,matthewwells@lane-palmer.net
33,Condo,Sale,3,2,2095,552438,1388,2023-05-27,Jason,2750775419,qlong@gmail.com
34,Condo,Sale,1,2,504,618096,1856,2023-10-26,Thomas,6490925873,vanessa76@gmail.com
35,Apartment,Rent,2,2,1626,550439,1365,2023-10-13,Shawn,4896446109,caleb55@juarez-martin.com
36,Condo,Rent,2,1,1719,613756,499,2022-01-09,Adam,001-830-049-0833x779,amber82@hotmail.com
37,Apartment,Rent,4,3,1273,639673,1680,2023-12-25,James,396.035.8356,cynthia19@hotmail.com
38,Apartment,Rent,5,2,1376,338297,510,2021-05-26,Michael,001-110-927-4745x05167,donnatrevino@gmail.com
39,House,Rent,1,3,1491,208669,216,2021-08-12,Scott,334.386.3051x469,johnsonjohn@yahoo.com
40,Apartment,Rent,1,3,546,66753,1324,2021-06-26,Martin,225-577-5149,wlee@graves-clark.net
41,House,Sale,3,2,768,501128,1155,2023-05-03,Lori,+1-574-452-6106x972,brian19@marshall.biz
42,Apartment,Rent,2,1,869,4067,1827,2021-03-04,Samuel,458.660.6838,eric43@gmail.com
43,Apartment,Rent,5,2,1135,83545,1810,2023-04-07,Sarah,0670590200,slloyd@stewart.com
44,House,Rent,4,1,1629,157964,2492,2023-03-06,Cathy,139-636-4072x32257,ericpierce@hotmail.com
45,House,Sale,2,3,2193,536426,2923,2022-11-20,Gary,068.691.6689,briannewman@yahoo.com
46,Apartment,Rent,4,1,2182,132284,1205,2021-04-15,Kyle,6290645010,acarrillo@hotmail.com
47,Condo,Rent,3,1,1156,532631,2214,2022-05-26,Alexis,006-395-8871x7318,nlester@edwards.net
48,House,Sale,3,1,619,61492,90,2022-01-20,Kimberly,8782165223,mmeadows@gmail.com
49,Condo,Rent,1,3,1330,220956,713,2022-02-09,Jeremy,+1-728-828-0638,dodsondaniel@hernandez.org
50,Condo,Rent,5,3,2310,224792,1881,2023-04-03,Daniel,339.248.5784x5561,porterbobby@bryant.biz
51,Condo,Rent,4,1,1581,517571,38,2022-06-02,Edward,678-932-7252x701,leslie91@hotmail.com
52,House,Rent,2,1,2474,563844,172,2022-04-21,Christopher,+1-019-566-3120x53968,nphelps@gmail.com
53,Condo,Rent,3,2,1869,543976,652,2022-12-10,Tammy,(415)493-6743x9024,lrodriguez@gmail.com
54,House,Sale,1,1,1240,691895,753,2023-02-10,Vanessa,4342607216,troymckinney@clark.com
55,Condo,Sale,1,2,616,115152,1243,2023-11-13,Sheila,(640)769-7746x380,dana15@cooper.com
56,Apartment,Sale,4,1,2353,86799,1081,2023-09-24,Samantha,623-083-0765x907,cannonjason@herrera-norman.com
57,Apartment,Rent,3,2,1650,18755,1683,2022-11-08,Gary,(801)064-4885x444,rileyoscar@williams.com
58,House,Rent,5,3,2431,71440,2523,2022-12-15,Jillian,884.843.0560,gmanning@hotmail.com
59,Apartment,Rent,3,1,1512,197382,455,2021-03-24,Timothy,363.756.5531,tmullen@yahoo.com
60,Apartment,Sale,4,1,2164,744886,828,2022-04-02,Nicholas,170.827.6391x780,erin58@gmail.com
61,Condo,Rent,4,1,1581,401373,894,2021-01-01,Alexander,001-744-122-0006x48490,nathanclark@hill.net
62,House,Rent,3,1,1133,426495,1384,2021-02-20,Morgan,323.184.1102x3991,cassandra14@yahoo.com
63,Condo,Sale,4,2,1012,62276,1958,2022-11-16,Joseph,142.504.5317x452,melissa24@yahoo.com
64,Condo,Rent,3,1,1619,307755,2434,2022-12-18,Ronald,001-277-904-1394x9609,donald33@gmail.com
65,Condo,Sale,2,3,1641,168080,1996,2022-03-25,Rebecca,9085370592,castrokevin@yahoo.com
66,Condo,Sale,3,3,1059,676310,2395,2023-05-31,Robert,(416)825-9904,matthewmiranda@gmail.com
67,Condo,Sale,3,1,987,596268,189,2022-05-03,Cindy,195.569.9922,allenspears@gmail.com
68,Condo,Rent,4,3,1396,699446,504,2021-02-03,Reginald,+1-225-773-4547x4351,andreacampbell@hotmail.com
69,Condo,Rent,4,1,1712,637944,1214,2021-04-05,Marie,908.325.8677x9115,michael67@yahoo.com
70,House,Rent,1,1,1203,415368,1531,2021-06-03,Matthew,841.415.7770,phayes@kent.biz
71,Apartment,Rent,1,3,1970,186941,823,2021-09-07,Jennifer,(052)861-6408x7843,mariemckee@brown-robbins.com
72,Condo,Rent,2,1,1080,635536,928,2022-11-05,Jonathan,001-787-968-9719x83322,chelsea27@hotmail.com
73,Condo,Rent,1,3,2794,539485,933,2022-03-14,Kelsey,238-992-7234x9025,pthomas@yahoo.com
74,Condo,Rent,3,2,653,178831,1140,2021-04-28,Steven,(143)706-8016x872,joshuasimpson@roberts.com
75,Condo,Sale,4,1,2179,119980,133,2023-02-10,Nathaniel,186-561-4358,charlesadams@bell.com
76,Condo,Rent,1,2,1496,67034,2105,2021-09-25,Caroline,960.973.0075x93425,mariawilson@yahoo.com
77,Condo,Sale,1,3,1743,565042,684,2023-12-14,James,+1-532-681-5966,brandoncook@harris.com
78,Apartment,Rent,2,2,1592,179152,2719,2021-08-24,Aaron,985-541-7470x9045,cathymcpherson@gibson.biz
79,Apartment,Rent,2,2,1508,80259,2220,2022-01-24,Thomas,7797666131,matthew41@hendrix.com
80,Condo,Rent,3,3,2641,410795,1852,2023-09-17,John,001-083-162-2907,aclark@snyder-miller.info
81,Apartment,Sale,4,2,2273,195804,814,2023-02-02,Mariah,(041)388-7515,hobbstravis@gmail.com
82,House,Sale,2,2,1457,466952,1172,2022-02-05,Jessica,001-962-545-7235,brandon70@yahoo.com
83,Condo,Sale,1,3,952,726056,79,2022-09-16,Samantha,(422)226-9744x6806,gutierrezvalerie@morgan.info
84,House,Sale,4,2,1727,59963,2933,2023-02-06,Amy,376-769-9715x048,michaelbrown@richards.biz
85,House,Rent,4,3,2765,476653,202,2023-07-08,Sarah,347.998.2181,jamesellis@barber.biz
86,Condo,Sale,1,2,2979,52734,2811,2023-05-03,Dylan,655-735-4979,william97@gmail.com
87,Apartment,Rent,2,3,2888,721055,1252,2022-08-01,Joshua,(369)725-4101x015,kellybrandon@gmail.com
88,House,Rent,1,3,1050,426323,1699,2021-03-16,Stacey,415.929.7698x9934,ricejoshua@martinez.net
89,Condo,Sale,4,2,2135,454937,1250,2022-03-11,Mark,001-407-857-0974,michael36@mullen-barton.com
90,House,Sale,5,2,1812,6286,1682,2021-04-13,Lindsay,(356)852-1187,mrobinson@keller-crawford.com
91,House,Sale,5,2,2257,140207,1555,2023-02-03,Jacob,001-289-701-5990,vjohnson@hotmail.com
92,House,Sale,3,1,856,651108,2094,2023-01-08,Amy,915-931-5237x86085,eknight@villarreal-barnes.com
93,House,Sale,1,1,2570,627883,1256,2023-03-17,Mackenzie,001-370-149-1141x165,tjohnson@yahoo.com
94,Apartment,Sale,1,1,2285,220984,1549,2021-04-08,Richard,+1-976-365-6405,joshuaanderson@stone.com
95,House,Sale,3,3,2281,667290,1166,2023-03-09,Susan,+1-273-473-3677,cdavis@gmail.com
96,House,Sale,3,2,2989,350452,1396,2023-05-09,Lisa,001-906-554-9673x89361,brittany23@clark-orozco.info
97,House,Rent,3,3,2131,643412,2703,2022-03-11,Carlos,(525)595-3258x786,heatheralvarado@yahoo.com
98,Apartment,Sale,4,1,1515,323510,470,2022-03-23,Michael,446.403.4791x0540,icummings@bennett.org
99,House,Sale,1,2,1848,198575,1035,2021-09-06,Maria,853.249.6239x2408,djuarez@brown-saunders.com
100,House,Rent,4,3,1015,290136,1353,2021-06-15,Megan,(591)917-0080,fcosta@burke.com
